room_id,room_number,room_type,floor,building,wing,department_id,capacity,bed_count,current_occupancy,room_status,square_footage,daily_rate,special_features,isolation_capable,oxygen_supply,suction_available,nurse_call_system,bathroom_type,window_count,last_cleaned,next_maintenance,temperature_control,wifi_available,tv_available,phone_available,accessible_compliant,fire_safety_rating,renovation_date,assigned_staff,sterilization_required
R308,Neurology Lab,Procedure Room,3,Main Hospital,North,008,1,0,0,Operational,200,0,"EEG monitoring neurological testing",No,Yes,No,Yes,Private,1,2024-03-17 16:00,2024-04-25,Individual,Yes,No,Yes,Yes,A,2023-08-28,EMP008,No
R401,Orthopedic Room 1,Patient Room,4,Main Hospital,West,004,2,2,2,Occupied,320,850,"Orthopedic bed traction equipment",No,Yes,Yes,Yes,Private,2,2024-03-18 07:00,2024-04-12,Individual,Yes,Yes,Yes,Yes,A,2023-03-05,EMP004,No
R402,Orthopedic Room 2,Patient Room,4,Main Hospital,West,004,2,2,1,Occupied,320,850,"Orthopedic bed rehabilitation equipment",No,Yes,Yes,Yes,Private,2,2024-03-18 09:00,2024-04-12,Individual,Yes,Yes,Yes,Yes,A,2023-03-05,EMP004,No
R403,Orthopedic Room 3,Patient Room,4,Main Hospital,West,004,2,2,0,Available,320,850,"Orthopedic bed mobility aids",No,Yes,Yes,Yes,Private,2,2024-03-18 11:00,2024-04-12,Individual,Yes,Yes,Yes,Yes,A,2023-03-05,EMP004,No
R404,OR Suite 4,Operating Room,4,Main Hospital,West,004,1,1,0,Available,400,0,"Orthopedic surgery arthroscopy equipment",No,Yes,Yes,Yes,Staff Only,0,2024-03-17 22:00,2024-04-18,Central,No,No,No,Yes,A,2023-04-18,EMP024,Yes
R416,Dialysis Unit,Treatment Room,4,Main Hospital,South,016,6,6,4,Operational,500,0,"Dialysis machines water treatment",No,Yes,Yes,Yes,Shared,3,2024-03-18 05:00,2024-04-14,Central,Yes,Yes,Yes,Yes,A,2023-07-14,EMP016,Yes
R501,Pediatric Room 1,Patient Room,2,Children's Wing,North,005,1,1,1,Occupied,280,650,"Pediatric bed toys entertainment",No,Yes,Yes,Yes,Private,2,2024-03-18 08:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2021-04-12,EMP025,No
R502,Pediatric Room 2,Patient Room,2,Children's Wing,North,005,1,1,0,Available,280,650,"Pediatric bed colorful decor",No,Yes,Yes,Yes,Private,2,2024-03-18 10:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2021-04-12,EMP025,No
R503,Pediatric Room 3,Patient Room,2,Children's Wing,North,005,1,1,1,Occupied,280,650,"Pediatric bed family seating",No,Yes,Yes,Yes,Private,2,2024-03-18 12:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2021-04-12,EMP025,No
R508,Pediatrics Room 8,Patient Room,2,Children's Wing,North,005,1,1,1,Occupied,280,650,"Pediatric monitoring entertainment",No,Yes,Yes,Yes,Private,2,2024-03-18 14:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2023-10-03,EMP025,No
R512,Central Pharmacy,Pharmacy,2,Main Hospital,Central,012,0,0,0,Operational,800,0,"Automated dispensing sterile compounding",No,No,No,No,Staff Only,2,2024-03-17 20:00,2024-04-08,Central,Yes,No,Yes,Yes,A,2023-09-15,EMP012,Yes
R601,Labor and Delivery 1,Delivery Room,3,Women's Center,South,006,1,1,1,Occupied,350,2200,"Birthing bed fetal monitoring",No,Yes,Yes,Yes,Private,2,2024-03-18 06:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2023-07-03,EMP006,Yes
R602,Labor and Delivery 2,Delivery Room,3,Women's Center,South,006,1,1,0,Available,350,2200,"Birthing bed emergency equipment",No,Yes,Yes,Yes,Private,2,2024-03-18 08:00,2024-04-15,Individual,Yes,Yes,Yes,Yes,A,2019-11-22,EMP006,Yes
R603,OB-GYN Room 3,Patient Room,3,Women's Center,South,006,1,1,1,Occupied,300,1200,"Examination bed gynecological equipment",No,Yes,Yes,Yes,Private,2,2024-03-18 10:00,2024-04-25,Individual,Yes,Yes,Yes,Yes,A,2019-11-22,EMP006,No
R605,OB-GYN Room 5,Examination Room,3,Women's Center,South,006,1,0,0,Available,250,0,"Ultrasound examination equipment",No,Yes,No,Yes,Private,1,2024-03-18 12:00,2024-04-18,Individual,Yes,No,Yes,Yes,A,2023-05-12,EMP006,No
R606,Women's Imaging,Imaging Room,3,Women's Center,South,006,1,0,0,Operational,300,0,"Mammography equipment lead-lined",No,No,No,No,Private,0,2024-03-17 18:00,2024-04-12,Central,No,No,No,Yes,A,2023-11-10,EMP006,Yes
R701,Laboratory Station 1,Laboratory,1,Main Hospital,South,011,0,0,0,Operational,400,0,"Blood analysis centrifuge equipment",No,No,No,No,Staff Only,2,2024-03-18 05:00,2024-04-25,Central,Yes,No,Yes,Yes,A,2023-07-30,EMP026,Yes
R702,Laboratory Storage,Storage,1,Main Hospital,South,011,0,0,0,Operational,200,0,"Sample storage refrigeration",No,No,No,No,Staff Only,1,2024-03-18 04:00,2024-04-10,Central,No,No,No,Yes,A,2023-03-12,EMP026,Yes
R703,Blood Bank,Storage,1,Main Hospital,South,011,0,0,0,Operational,300,0,"Blood storage refrigeration monitoring",No,No,No,No,Staff Only,1,2024-03-18 02:00,2024-04-18,Central,No,No,No,Yes,A,2023-01-20,EMP026,Yes
R717,Pulmonology Lab,Testing Room,5,Main Hospital,West,017,1,0,0,Operational,250,0,"Spirometry pulmonary function testing",No,Yes,No,Yes,Private,1,2024-03-17 15:00,2024-04-05,Individual,Yes,No,Yes,Yes,A,2023-11-25,EMP017,No
R718,Hyperbaric Unit,Treatment Room,5,Main Hospital,West,017,1,1,1,Occupied,600,0,"Hyperbaric chamber oxygen therapy",No,Yes,No,Yes,Private,1,2024-03-17 12:00,2024-04-20,Central,No,No,Yes,Yes,A,2022-10-22,EMP030,Yes
R820,Ophthalmology Room 2,Examination Room,3,Main Hospital,North,020,1,0,0,Available,200,0,"Eye examination equipment ophthalmoscope",No,No,No,Yes,Private,1,2024-03-18 14:00,2024-04-20,Individual,Yes,No,Yes,Yes,A,2023-04-22,EMP020,No
R821,Ophthalmology OR,Operating Room,3,Main Hospital,North,020,1,1,0,Available,350,0,"Eye surgery laser equipment",No,Yes,Yes,Yes,Staff Only,0,2024-03-17 20:00,2024-04-18,Central,No,No,No,Yes,A,2022-09-14,EMP020,Yes
R901,OR Suite 1,Operating Room,5,Main Hospital,Central,009,1,1,0,Available,500,0,"General surgery equipment table",No,Yes,Yes,Yes,Staff Only,0,2024-03-17 22:00,2024-04-08,Central,No,No,No,Yes,A,2022-12-08,EMP024,Yes
R902,OR Suite 2,Operating Room,5,Main Hospital,Central,009,1,1,1,Occupied,500,0,"Electrocautery surgical equipment",No,Yes,Yes,Yes,Staff Only,0,2024-03-17 20:00,2024-04-28,Central,No,No,No,Yes,A,2023-06-08,EMP024,Yes
R903,OR Suite 3,Operating Room,5,Main Hospital,Central,009,1,1,0,Available,500,0,"Anesthesia surgical monitoring",No,Yes,Yes,Yes,Staff Only,0,2024-03-17 18:00,2024-04-28,Central,No,No,No,Yes,A,2023-09-22,EMP024,Yes
R910,Central Sterile,Sterilization,5,Main Hospital,Central,009,0,0,0,Operational,400,0,"Autoclave sterilization equipment",No,No,No,No,Staff Only,1,2024-03-17 16:00,2024-04-15,Central,No,No,No,Yes,A,2022-08-12,EMP024,Yes
STOR1,General Supply,Storage,1,Main Hospital,North,001,0,0,0,Operational,150,0,"Medical supplies wheelchairs",No,No,No,No,None,0,2024-03-18 06:00,2024-05-01,Central,No,No,No,Yes,A,2023-05-05,,No
